 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-62.csv' (seed 1992);20.14;24.08;24.12;24.12;24.12;24.12;23.86;21.07;24.17;19.88;21.81;27.36;32.23;31.09;25.20;30.81;19.45;26.06;2.44;6.46;1.02;0.36;0.51;1.66;0.59;5.27;1.35
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-63.csv' (seed 1992);21.00;24.07;24.12;24.12;24.12;24.12;23.86;22.08;24.18;21.63;22.02;27.08;32.20;31.07;24.99;30.56;20.36;25.48;2.03;5.59;1.08;0.36;0.51;1.75;0.60;5.04;1.56
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-64.csv' (seed 1992);21.52;24.06;24.11;24.12;24.12;24.12;23.86;21.94;24.17;22.13;22.01;26.92;32.38;31.18;24.92;31.06;20.07;25.44;2.02;5.58;1.12;0.35;0.50;1.79;0.58;5.78;1.57
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-65.csv' (seed 1992);21.47;24.09;24.11;24.12;24.12;24.11;23.86;21.58;24.17;22.61;22.04;27.13;32.60;31.18;24.80;30.60;19.72;25.59;1.84;5.58;1.07;0.33;0.50;1.85;0.60;5.80;1.51
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-66.csv' (seed 1992);21.76;24.09;24.11;24.12;24.12;24.11;23.86;21.33;24.17;22.50;22.10;27.16;32.55;31.13;24.94;31.06;19.38;25.71;1.94;5.38;1.06;0.33;0.50;1.77;0.57;6.44;1.46
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-67.csv' (seed 1992);21.09;24.08;24.11;24.12;24.12;24.10;23.85;21.95;24.18;21.65;22.02;27.26;32.28;31.15;24.87;30.85;19.98;25.53;1.96;5.61;1.04;0.35;0.50;1.81;0.58;6.04;1.53
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-68.csv' (seed 1992);20.31;24.08;24.11;24.12;24.12;24.12;23.86;20.43;24.17;21.35;21.98;27.55;32.61;31.00;25.46;30.65;18.60;25.98;2.21;5.76;0.99;0.33;0.51;1.55;0.59;6.57;1.37
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-69.csv' (seed 1992);21.50;24.03;24.11;24.12;24.12;24.12;23.86;21.37;24.18;22.25;22.15;27.18;32.39;30.96;25.17;30.78;19.53;25.83;1.95;5.05;1.05;0.35;0.51;1.67;0.59;5.86;1.43
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-70.csv' (seed 1992);21.98;24.05;24.11;24.12;24.12;24.12;23.86;20.89;24.18;22.82;22.24;27.17;32.47;31.13;25.10;30.91;19.14;25.64;1.88;4.85;1.06;0.34;0.51;1.70;0.58;5.84;1.49
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-71.csv' (seed 1992);22.32;24.05;24.12;24.12;24.12;24.12;23.86;21.05;24.18;22.88;22.21;27.08;32.50;31.02;25.28;30.62;19.19;26.31;2.24;4.94;1.08;0.34;0.51;1.62;0.60;6.24;1.29
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-72.csv' (seed 1992);21.55;24.07;24.12;24.12;24.12;24.12;23.86;23.12;24.18;19.68;22.26;27.13;32.30;31.16;25.32;30.87;20.95;26.51;7.06;4.83;1.07;0.35;0.50;1.62;0.58;6.12;1.23
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-73.csv' (seed 1992);22.29;24.06;24.11;24.12;24.12;24.12;23.86;23.16;24.17;20.22;22.22;27.07;32.26;31.13;25.16;30.73;21.07;26.20;7.21;4.93;1.08;0.36;0.51;1.67;0.59;5.71;1.33
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-74.csv' (seed 1992);22.05;24.08;24.12;24.12;24.12;24.12;23.86;23.24;24.18;19.76;22.30;27.16;32.03;31.13;25.20;30.59;21.21;26.38;7.21;4.75;1.07;0.37;0.51;1.65;0.60;5.46;1.27
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-75.csv' (seed 1992);23.04;24.06;24.11;24.11;24.12;24.12;23.86;23.58;24.16;20.56;22.33;27.11;32.09;31.20;25.24;30.71;21.55;26.21;8.29;4.64;1.08;0.37;0.50;1.64;0.60;5.38;1.31
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-76.csv' (seed 1992);22.04;24.09;24.11;24.11;24.12;24.12;23.86;23.13;24.17;19.68;22.38;27.13;32.03;31.21;25.23;30.69;21.24;26.31;8.44;4.57;1.07;0.37;0.50;1.64;0.60;5.04;1.29
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-77.csv' (seed 1992);22.13;24.09;24.12;24.12;24.12;24.12;23.86;23.50;24.17;19.65;22.29;26.79;31.92;31.08;25.28;30.61;21.73;25.96;9.48;4.82;1.15;0.38;0.51;1.62;0.60;4.52;1.40
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-78.csv' (seed 1992);21.54;24.09;24.11;24.12;24.12;24.11;23.86;23.53;24.17;19.09;22.32;26.88;31.86;31.05;25.10;30.99;21.80;25.85;10.04;4.72;1.13;0.38;0.51;1.71;0.58;4.46;1.42
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-79.csv' (seed 1992);21.47;24.10;24.11;24.12;24.12;24.11;23.86;23.33;24.17;19.01;22.41;26.72;32.11;31.15;24.96;31.33;21.34;25.80;10.55;4.52;1.17;0.37;0.49;1.77;0.56;5.24;1.45
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-80.csv' (seed 1992);21.65;24.08;24.11;24.12;24.12;24.10;23.85;23.54;24.18;19.14;22.33;26.74;32.01;31.04;24.86;31.09;21.63;25.70;11.68;4.66;1.16;0.38;0.51;1.81;0.57;4.87;1.48
