 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-62.csv' (seed 1992);5.15;62.43;16.28;28.43;51.02;12.40;14.88;50.11;27.60;10.63;80.34;14.21;25.14;60.01;11.55;13.31;47.18;27.49;1.58;1.00;21.46;7.32;0.39;8.71;12.79;4.30;1.81
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-63.csv' (seed 1992);6.37;64.50;16.98;26.08;59.12;10.81;17.62;54.66;21.94;11.42;83.81;14.80;22.90;69.55;10.11;15.63;52.96;22.36;1.66;0.88;21.43;9.80;0.50;9.75;12.43;4.33;2.11
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-64.csv' (seed 1992);5.40;65.45;17.36;25.76;57.95;14.12;14.63;53.88;25.25;10.98;80.69;15.11;22.92;68.58;12.98;13.43;52.40;25.23;1.62;1.13;21.86;7.22;0.43;8.83;8.64;4.45;2.00
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-65.csv' (seed 1992);5.71;64.59;16.47;25.06;59.50;12.85;18.89;53.26;23.15;10.38;82.13;14.28;22.10;70.39;11.79;16.91;52.17;21.37;1.93;1.01;27.05;9.19;0.41;9.83;9.46;4.47;4.60
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-66.csv' (seed 1992);5.14;63.67;18.13;27.35;58.85;12.02;17.55;55.65;24.17;7.49;83.04;15.75;23.94;68.48;11.02;15.74;55.58;22.13;3.22;0.94;21.74;10.13;0.54;11.04;10.00;4.13;4.84
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-67.csv' (seed 1992);1.05;79.46;20.35;36.63;71.58;3.63;21.75;51.86;28.17;1.79;91.04;17.58;31.85;75.04;3.30;19.03;47.50;24.89;11.49;0.38;24.81;8.58;0.85;44.03;13.79;5.76;7.56
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-68.csv' (seed 1992);0.13;79.87;16.66;39.81;75.21;1.84;23.91;47.41;31.35;0.21;93.28;14.40;34.54;79.78;1.64;20.84;43.92;27.46;91.89;0.23;31.63;8.24;1.03;119.89;14.03;6.75;8.31
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-69.csv' (seed 1992);0.56;89.85;19.78;36.06;80.84;0.76;22.77;54.22;24.04;0.94;93.80;17.09;31.60;79.25;0.68;19.82;48.44;21.32;22.00;0.20;25.41;6.69;1.09;267.55;15.57;5.58;8.51
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-70.csv' (seed 1992);3.12;78.78;21.12;27.09;70.61;6.87;19.78;58.09;19.97;3.10;78.24;18.31;24.43;68.06;7.08;17.61;52.57;18.79;27.63;1.27;19.77;5.27;2.07;7.61;9.94;4.72;4.48
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-71.csv' (seed 1992);2.73;78.28;22.20;25.38;68.46;8.08;20.99;57.18;16.41;2.59;77.01;19.30;23.39;64.46;8.32;18.63;51.14;15.25;56.89;1.38;16.79;4.16;2.52;6.36;9.91;4.93;6.45
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-72.csv' (seed 1992);4.80;75.06;20.48;20.99;54.48;14.56;19.46;55.72;17.49;4.33;67.71;17.89;19.21;48.44;14.54;17.36;48.90;18.27;47.95;2.31;15.69;5.83;4.52;4.01;9.77;5.41;2.44
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-73.csv' (seed 1992);3.00;70.72;19.46;20.73;53.94;17.43;19.59;57.17;18.83;2.71;63.17;17.08;19.38;48.04;16.94;17.42;50.18;19.51;72.48;2.72;14.43;4.57;4.12;3.93;10.24;5.14;2.33
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-74.csv' (seed 1992);1.78;74.35;22.20;19.53;54.82;16.41;18.19;62.26;19.84;1.63;64.46;19.33;17.95;47.52;15.82;16.13;53.77;19.45;126.81;2.38;15.66;6.01;4.92;4.50;11.98;4.56;3.14
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-75.csv' (seed 1992);1.84;73.14;20.92;21.50;53.17;18.19;18.00;61.37;20.16;1.66;63.34;18.30;19.23;46.21;17.22;16.08;53.02;20.02;98.57;2.63;14.67;8.15;4.69;4.72;10.44;4.59;2.80
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-76.csv' (seed 1992);2.94;72.89;21.94;18.13;48.78;17.49;16.79;63.92;18.13;2.73;63.09;19.19;16.70;42.23;16.89;14.99;55.30;18.41;99.40;2.70;13.91;6.40;6.49;4.14;11.53;3.89;2.76
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-77.csv' (seed 1992);0.30;71.10;23.21;18.83;47.13;19.97;15.20;63.98;21.37;1.74;61.67;20.17;17.20;40.86;18.62;13.86;55.25;20.88;91.89;2.64;16.41;6.82;6.41;4.93;9.05;4.28;2.94
