 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-62.csv' (seed 1992);5.55;62.01;17.63;32.86;52.54;9.38;12.13;45.94;36.97;8.30;82.99;17.76;38.34;62.40;9.92;11.97;46.22;43.83;2.72;0.71;3.15;3.06;0.47;4.80;6.24;3.97;0.45
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-63.csv' (seed 1992);5.10;63.70;16.76;35.58;59.81;10.24;13.84;48.65;31.86;8.13;85.30;18.43;40.69;71.96;10.01;14.27;50.72;41.33;2.60;0.77;2.33;2.76;0.53;7.09;4.42;4.80;0.41
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-64.csv' (seed 1992);5.16;63.21;16.90;30.79;61.26;10.34;15.76;49.03;23.97;9.52;84.70;18.70;30.97;70.85;10.51;17.02;47.06;36.54;1.87;0.81;2.18;7.12;0.55;5.43;3.40;5.37;0.39
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-65.csv' (seed 1992);3.86;64.05;16.60;34.80;62.05;8.59;14.31;41.91;34.26;7.53;86.05;15.76;38.92;73.71;8.63;15.41;40.11;41.62;2.33;0.71;6.74;4.98;0.55;7.33;4.28;7.57;0.46
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-66.csv' (seed 1992);3.45;62.97;15.46;36.23;59.60;10.31;12.38;41.79;40.37;4.89;85.12;14.34;41.47;73.82;10.07;12.20;41.35;44.56;5.80;0.78;12.03;3.37;0.48;7.40;8.12;7.43;0.55
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-67.csv' (seed 1992);0.87;78.62;21.81;40.47;69.52;5.39;13.39;45.38;43.27;1.88;89.74;19.19;41.29;72.90;5.06;12.23;41.64;43.19;8.90;0.46;18.79;5.33;0.90;25.96;14.05;7.23;1.00
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-68.csv' (seed 1992);0.17;79.04;21.85;47.58;71.68;1.90;14.45;39.84;46.98;0.19;93.43;19.22;49.57;75.90;1.76;12.95;36.40;44.44;252.18;0.22;19.61;4.72;1.37;111.61;25.31;9.25;1.39
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-69.csv' (seed 1992);0.19;88.43;23.65;43.90;76.74;2.93;13.37;50.59;46.25;0.47;91.33;20.67;42.54;74.52;2.79;11.99;45.14;43.12;32.25;0.36;16.91;6.87;1.37;57.50;28.38;6.43;5.02
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-70.csv' (seed 1992);1.70;80.75;24.73;40.20;70.32;6.69;14.98;50.75;44.85;1.61;81.05;22.56;39.31;68.02;6.64;13.39;45.44;42.99;65.33;1.05;5.90;3.49;1.78;12.20;27.64;6.10;3.44
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-71.csv' (seed 1992);4.32;67.02;21.99;28.82;55.38;16.98;14.22;58.37;36.93;4.05;63.46;20.30;26.85;53.24;16.75;12.76;53.61;43.12;34.41;2.65;6.34;4.37;2.27;4.75;20.44;4.42;0.66
