 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-62.csv' (seed 1992);0.87;12.08;12.22;12.12;2.70;2.83;11.54;11.73;1.73;4.79;29.60;31.86;30.05;7.55;6.89;25.85;31.85;5.21;0.41;0.31;0.12;0.13;0.26;0.34;0.21;0.27;0.53
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-63.csv' (seed 1992);0.40;1.04;12.22;12.12;2.25;1.05;0.98;12.03;2.02;1.81;2.34;27.26;27.98;5.44;2.42;2.34;23.36;5.01;0.42;0.37;0.14;0.13;0.30;0.39;0.44;0.17;0.48
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-64.csv' (seed 1992);0.09;0.21;12.22;12.12;1.02;0.20;0.19;12.03;0.99;0.39;0.47;27.15;26.60;2.51;0.49;0.47;22.96;2.45;0.37;0.39;0.14;0.13;0.32;0.33;0.42;0.15;0.43
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-65.csv' (seed 1992);3.05;12.08;12.22;12.12;6.34;0.28;0.25;10.90;4.70;11.85;23.82;26.38;27.90;15.84;0.66;0.62;24.94;12.29;0.40;0.43;0.21;0.14;0.26;0.34;0.43;0.46;0.56
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-66.csv' (seed 1992);0.46;12.08;12.22;12.12;0.93;0.16;0.16;11.75;0.75;1.84;23.10;25.80;27.48;2.41;0.40;0.42;26.71;1.97;0.41;0.45;0.23;0.13;0.25;0.38;0.38;0.41;0.53
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-67.csv' (seed 1992);0.09;11.92;12.22;12.12;0.23;0.22;11.93;11.89;0.22;0.28;23.70;24.26;24.71;0.46;0.52;23.74;26.46;0.44;0.81;0.58;0.23;0.13;0.38;0.33;0.13;0.41;0.55
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-68.csv' (seed 1992);0.68;1.55;12.22;12.12;5.61;1.54;1.34;11.98;5.60;1.70;3.11;24.33;24.82;11.31;3.71;3.35;24.73;11.34;0.97;0.49;0.23;0.14;0.39;0.33;0.42;0.22;0.53
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-69.csv' (seed 1992);0.67;1.99;12.22;12.12;4.26;2.08;1.99;12.03;4.29;1.91;3.88;23.78;23.92;8.49;4.08;3.96;24.87;8.59;1.17;0.59;0.24;0.15;0.39;0.40;0.47;0.23;0.51
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-70.csv' (seed 1992);0.28;4.61;12.22;12.12;0.77;4.66;4.42;12.03;0.81;0.76;8.98;23.87;23.65;1.51;9.05;8.81;24.80;1.60;1.25;0.52;0.26;0.15;0.36;0.37;0.48;0.27;0.52
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-71.csv' (seed 1992);0.15;11.99;12.22;12.12;0.45;0.48;11.93;11.67;0.46;0.39;23.26;23.64;23.54;0.88;0.95;23.16;26.51;0.92;1.52;0.57;0.43;0.31;0.36;0.38;0.13;0.41;0.50
