 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-62.csv' (seed 1992);2.42;12.08;12.22;1.86;2.04;6.69;5.47;12.03;12.07;7.51;23.79;24.86;5.84;6.51;14.25;14.24;22.86;22.93;0.15;0.41;0.17;0.32;0.26;0.29;0.42;0.11;0.40
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-63.csv' (seed 1992);2.75;12.08;12.22;2.41;2.58;2.43;1.96;12.03;12.07;7.75;23.83;23.82;5.99;7.30;5.00;5.09;22.86;22.93;0.16;0.41;0.14;0.42;0.28;0.30;0.42;0.11;0.40
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-64.csv' (seed 1992);2.50;12.08;12.22;2.48;2.40;12.11;9.50;12.03;12.07;6.33;23.79;26.92;5.31;4.70;28.06;25.51;22.86;22.93;0.15;0.40;0.21;0.44;0.41;0.27;0.41;0.11;0.40
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-65.csv' (seed 1992);2.71;12.08;12.22;2.67;2.58;6.24;5.44;12.03;12.07;6.16;23.79;23.25;5.58;5.05;12.30;10.80;22.86;22.93;0.17;0.40;0.22;0.41;0.40;0.32;0.68;0.11;0.40
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-66.csv' (seed 1992);11.92;12.08;12.22;12.12;11.97;4.89;4.16;12.03;12.07;27.20;23.77;23.25;25.32;23.68;9.78;8.29;22.86;22.93;0.17;0.41;0.20;0.46;0.44;0.32;0.69;0.11;0.39
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-67.csv' (seed 1992);11.92;12.08;12.22;12.12;11.97;4.59;3.89;12.03;12.07;24.45;23.82;23.23;24.06;23.69;9.17;7.74;22.86;22.93;0.17;0.41;0.19;0.44;0.42;0.32;0.69;0.11;0.39
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-68.csv' (seed 1992);9.38;12.08;12.22;9.59;9.45;12.11;10.30;12.03;12.07;19.22;23.82;23.24;19.04;18.69;24.22;20.52;22.86;22.93;0.17;0.41;0.30;0.44;0.42;0.31;0.69;0.11;0.39
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-69.csv' (seed 1992);11.92;12.08;12.22;12.12;11.98;9.72;8.33;12.03;12.07;23.55;23.77;23.23;23.64;23.64;19.44;16.56;22.86;22.93;0.17;0.41;0.27;0.44;0.41;0.31;0.69;0.11;0.40
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-70.csv' (seed 1992);4.26;12.08;12.22;4.33;4.21;6.05;5.28;12.03;12.07;8.42;23.84;23.23;8.45;8.28;12.07;10.51;22.86;22.93;0.17;0.41;0.22;0.42;0.39;0.32;0.68;0.11;0.40
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-71.csv' (seed 1992);11.92;12.08;12.22;12.12;11.97;0.96;0.84;12.03;12.07;23.56;23.75;23.22;23.68;23.68;1.86;1.64;22.86;22.93;0.17;0.41;0.13;0.44;0.41;0.30;0.72;0.11;0.39
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-72.csv' (seed 1992);11.92;12.08;12.22;12.11;11.97;12.11;10.18;12.03;12.07;30.08;23.78;23.22;23.43;23.45;23.52;19.82;22.86;22.93;0.16;0.41;0.29;0.51;0.39;0.30;0.74;0.11;0.39
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-73.csv' (seed 1992);11.61;12.08;12.22;10.31;11.68;1.98;1.69;12.03;12.07;34.60;23.73;23.22;23.64;24.95;3.86;3.27;22.86;22.93;0.23;0.42;0.15;0.50;0.46;0.30;0.74;0.11;0.38
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-74.csv' (seed 1992);0.39;12.08;12.22;0.35;0.38;1.30;1.13;12.03;12.07;1.17;23.81;23.22;0.82;0.80;2.53;2.20;22.86;22.93;0.21;0.40;0.14;0.47;0.42;0.30;0.74;0.11;0.39
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-75.csv' (seed 1992);0.19;12.08;12.22;0.17;0.20;8.63;7.27;12.03;12.07;0.52;23.82;23.23;0.39;0.41;16.79;14.18;22.86;22.93;0.25;0.41;0.24;0.49;0.41;0.31;0.74;0.11;0.39
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-76.csv' (seed 1992);0.97;12.08;12.22;0.87;0.91;1.87;1.59;12.03;12.07;2.58;23.83;23.23;2.01;1.93;3.63;3.08;22.86;22.93;0.26;0.40;0.14;0.46;0.43;0.31;0.75;0.11;0.40
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-77.csv' (seed 1992);8.56;12.08;12.22;7.37;6.65;5.35;4.49;12.03;12.07;17.19;23.83;23.22;14.45;21.16;10.38;8.73;22.86;22.93;0.48;0.41;0.19;0.73;0.30;0.30;0.75;0.11;0.39
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-78.csv' (seed 1992);8.24;12.08;12.22;7.09;6.50;6.34;5.44;12.03;12.07;16.54;23.76;23.23;13.91;20.46;12.28;10.57;22.86;22.93;0.47;0.41;0.21;0.73;0.30;0.30;0.74;0.11;0.40
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-79.csv' (seed 1992);5.49;12.08;12.22;4.30;3.86;1.33;1.16;12.03;12.07;11.00;23.79;23.22;64.76;13.27;2.59;2.28;22.86;22.93;1.59;0.41;0.14;0.80;0.91;0.31;0.71;0.11;0.40
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-80.csv' (seed 1992);4.65;12.06;12.22;4.43;3.88;12.11;10.16;12.03;12.07;9.34;25.34;23.22;66.15;12.48;23.48;19.77;22.86;22.93;1.93;0.41;0.29;0.74;1.00;0.31;0.75;0.11;0.43
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-81.csv' (seed 1992);4.65;12.06;12.22;4.43;3.88;12.11;10.16;12.03;12.07;9.34;25.34;23.22;66.15;12.48;23.48;19.77;22.86;22.93;1.93;0.41;0.29;0.74;1.00;0.31;0.75;0.11;0.43
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-82.csv' (seed 1992);4.65;12.06;12.22;4.43;3.88;12.11;10.16;12.03;12.07;9.34;25.34;23.22;66.15;12.48;23.48;19.77;22.86;22.93;1.93;0.41;0.29;0.74;1.00;0.31;0.75;0.11;0.43
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-62.csv' (seed 1992);0.04;0.05;8.07;12.12;11.98;0.03;8.08;0.04;8.70;0.12;0.12;23.40;23.03;22.75;0.09;27.64;0.15;35.82;0.13;0.26;0.45;0.36;0.36;0.44;0.33;0.19;0.18
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-63.csv' (seed 1992);3.05;3.05;2.86;12.12;11.98;1.76;2.60;2.77;4.16;7.25;7.07;8.99;23.03;22.75;5.84;12.20;8.46;14.98;0.16;0.21;0.49;0.36;0.36;0.46;0.25;0.23;0.18
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-64.csv' (seed 1992);11.92;12.08;8.52;12.12;11.98;7.16;5.78;10.94;11.30;28.44;27.77;18.59;23.03;22.75;18.46;27.13;29.41;31.58;0.18;0.23;0.77;0.36;0.36;0.71;0.31;0.30;0.27
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-65.csv' (seed 1992);1.28;1.29;8.70;12.12;11.98;0.83;8.41;1.26;9.41;3.08;2.95;17.78;23.03;22.75;2.10;28.99;3.09;31.64;0.17;0.22;0.84;0.37;0.36;0.69;0.30;0.33;0.26
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-66.csv' (seed 1992);0.84;0.78;8.85;12.12;11.98;0.57;8.48;0.80;9.14;2.02;1.81;18.07;23.03;22.75;1.44;28.68;1.98;31.22;0.17;0.23;0.83;0.36;0.36;0.62;0.31;0.35;0.27
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-67.csv' (seed 1992);11.92;12.08;8.89;12.12;11.98;7.94;6.32;11.90;11.13;25.01;24.87;17.87;23.03;22.75;19.65;26.20;28.69;31.56;0.19;0.23;0.85;0.36;0.36;0.62;0.33;0.33;0.27
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-68.csv' (seed 1992);2.80;2.85;8.78;12.12;11.98;2.16;7.56;2.70;10.56;5.85;5.87;18.04;23.03;22.75;4.93;27.37;6.15;23.19;0.20;0.23;0.84;0.36;0.36;0.64;0.33;0.36;0.48
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-69.csv' (seed 1992);0.99;0.94;9.01;12.12;11.98;0.71;8.86;0.94;9.52;1.97;1.85;18.48;23.03;22.75;1.72;18.27;2.31;23.66;0.32;0.24;0.80;0.36;0.36;0.59;0.79;0.32;0.47
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-70.csv' (seed 1992);2.65;2.71;9.05;12.12;11.98;1.75;8.33;2.54;9.90;5.23;5.30;18.63;23.03;22.75;4.41;18.06;6.48;23.93;0.37;0.31;0.80;0.36;0.36;0.62;0.77;0.29;0.46
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-71.csv' (seed 1992);2.43;2.46;8.94;12.12;11.98;1.62;8.25;2.33;9.80;4.80;4.81;18.56;23.03;22.75;3.97;17.77;5.59;23.97;0.41;0.31;0.80;0.36;0.36;0.64;0.80;0.32;0.45
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-72.csv' (seed 1992);11.02;11.17;8.20;12.12;11.98;8.15;5.83;7.41;11.88;21.85;21.55;17.56;23.03;22.75;18.04;16.00;22.96;26.62;0.47;0.44;0.83;0.36;0.36;0.69;0.77;0.40;0.35
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-73.csv' (seed 1992);1.05;1.44;9.01;12.12;11.98;1.03;8.57;1.04;9.49;2.04;2.77;19.12;23.03;22.75;2.37;17.65;2.70;23.31;0.99;0.47;0.82;0.36;0.36;0.66;0.83;0.51;0.48
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-74.csv' (seed 1992);3.99;5.47;8.83;12.12;11.98;3.69;7.75;3.89;10.54;7.58;10.39;17.59;23.03;22.75;8.66;17.41;10.33;24.23;0.97;0.43;0.87;0.36;0.36;0.66;0.79;0.48;0.43
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-75.csv' (seed 1992);0.78;1.02;9.09;12.12;11.98;0.70;8.83;0.78;9.57;1.51;1.95;18.24;23.03;22.75;1.81;18.18;2.00;23.59;0.94;0.43;0.82;0.36;0.36;0.58;0.80;0.50;0.48
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-76.csv' (seed 1992);5.12;6.82;8.60;12.12;11.98;4.25;7.29;4.85;10.87;9.82;12.96;17.11;23.03;22.75;10.82;16.18;12.93;25.53;0.92;0.44;0.90;0.36;0.36;0.64;0.89;0.48;0.41
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-77.csv' (seed 1992);1.33;4.35;4.07;12.12;11.98;2.83;3.39;3.62;5.17;2.55;8.27;61.61;23.03;22.75;6.31;7.28;8.60;12.01;2.77;0.44;0.84;0.36;0.36;0.77;2.42;0.47;1.26
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-78.csv' (seed 1992);0.96;2.90;4.14;12.12;11.98;1.91;3.65;2.45;4.93;1.84;5.51;61.58;23.03;22.75;4.29;7.50;5.79;11.67;2.56;0.44;0.82;0.36;0.36;0.75;2.44;0.47;1.29
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-79.csv' (seed 1992);1.22;4.17;4.09;12.12;11.98;2.84;3.43;3.30;5.54;2.44;7.93;60.07;23.03;22.98;5.60;6.92;7.63;10.58;2.67;0.39;0.87;0.37;0.36;0.96;2.72;0.54;1.75
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-80.csv' (seed 1992);0.09;0.33;2.78;12.12;11.98;0.29;2.50;0.22;3.25;0.17;0.62;41.74;23.03;22.76;0.57;37.86;0.51;6.18;3.26;0.41;2.04;0.36;0.37;0.75;2.51;0.78;3.30
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-81.csv' (seed 1992);3.35;7.78;1.91;12.12;11.98;3.27;1.66;3.66;2.93;6.84;14.78;26.77;23.03;23.36;47.14;22.52;8.84;41.71;2.42;0.99;3.77;0.37;0.36;1.25;4.85;1.56;2.21
