 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-62.csv' (seed 1992);7.04;3.98;7.98;12.86;18.34;5.22;23.68;23.89;24.01;21.79;15.33;30.41;44.66;39.39;14.98;45.00;45.38;45.61;0.48;0.69;0.24;0.11;0.18;0.88;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-63.csv' (seed 1992);6.63;4.48;6.99;12.01;18.57;4.92;23.68;23.89;24.00;20.89;15.68;27.31;42.84;39.56;14.08;45.00;45.39;45.59;0.51;0.67;0.22;0.11;0.18;0.95;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-64.csv' (seed 1992);6.66;4.56;6.48;11.27;18.51;5.45;23.69;23.89;24.01;20.89;16.20;27.62;42.60;39.53;14.22;45.02;45.39;45.62;0.51;0.61;0.22;0.12;0.18;1.03;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-65.csv' (seed 1992);2.87;1.96;2.84;18.40;21.66;2.48;23.69;23.90;23.99;9.20;7.15;12.37;41.80;43.03;6.26;45.01;45.41;45.59;0.49;0.60;0.22;0.14;0.14;1.13;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-66.csv' (seed 1992);6.83;4.58;6.69;11.55;18.33;5.88;23.68;23.90;23.99;21.74;15.86;27.99;33.57;39.29;12.71;44.99;45.42;45.57;0.48;0.67;0.22;0.20;0.18;1.47;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-67.csv' (seed 1992);6.91;5.18;6.70;11.92;18.43;5.88;23.69;23.90;24.01;21.77;15.80;28.60;34.43;39.44;11.96;45.02;45.42;45.62;0.47;0.72;0.22;0.21;0.18;1.51;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-68.csv' (seed 1992);7.01;5.32;6.62;11.97;18.40;5.77;23.68;23.91;23.99;21.50;15.49;27.90;34.33;39.37;11.73;45.00;45.42;45.57;0.49;0.78;0.23;0.20;0.18;1.55;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-69.csv' (seed 1992);6.87;6.52;6.73;12.45;18.52;5.56;23.70;23.89;23.99;19.94;16.25;29.04;35.39;39.41;11.19;45.04;45.39;45.58;0.55;0.80;0.23;0.20;0.18;1.60;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-70.csv' (seed 1992);7.92;4.94;7.07;12.21;16.32;6.07;23.69;23.91;24.02;21.47;13.80;28.51;35.11;38.51;11.88;45.01;45.42;45.64;0.51;0.93;0.24;0.20;0.19;1.53;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-71.csv' (seed 1992);6.69;5.49;6.60;10.31;16.41;6.57;23.70;23.88;24.01;18.20;13.84;19.98;35.61;39.61;12.86;45.04;45.37;45.62;0.56;0.90;0.47;0.21;0.17;1.19;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-72.csv' (seed 1992);8.22;3.97;7.79;8.10;15.62;7.49;23.69;23.90;23.99;21.87;9.83;16.51;28.01;38.23;14.57;45.01;45.41;45.59;0.51;1.54;0.92;0.32;0.19;1.18;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-73.csv' (seed 1992);6.87;3.24;6.42;6.70;17.02;6.14;23.70;23.89;24.02;16.92;8.09;13.61;23.07;39.42;11.94;45.02;45.39;45.63;0.58;1.53;0.91;0.32;0.18;1.18;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-74.csv' (seed 1992);13.06;0.32;0.64;0.68;13.80;0.61;23.67;23.90;24.02;32.38;2.12;1.33;2.16;34.74;1.18;44.96;45.40;45.64;0.27;1.70;1.13;0.46;0.23;1.44;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-75.csv' (seed 1992);9.38;3.91;8.30;8.31;15.64;7.04;23.70;23.93;24.00;17.99;9.78;16.98;27.42;32.99;13.48;45.03;45.47;45.60;0.87;1.55;0.89;0.33;0.28;1.29;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-76.csv' (seed 1992);8.15;4.27;7.84;8.95;16.75;6.29;23.70;23.89;24.02;15.48;10.34;16.46;28.27;34.09;12.02;45.02;45.39;45.63;1.09;1.49;0.90;0.32;0.27;1.50;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-77.csv' (seed 1992);2.27;1.36;3.38;7.67;13.27;1.86;23.68;23.91;24.00;32.70;21.04;7.56;20.74;28.21;27.38;44.99;45.42;45.59;2.97;4.06;2.25;0.56;0.39;4.37;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-78.csv' (seed 1992);2.34;1.35;3.39;8.00;13.24;1.81;23.68;23.90;24.00;32.79;20.89;7.62;21.30;27.86;26.69;45.00;45.41;45.61;2.81;4.16;2.21;0.54;0.40;4.47;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-79.csv' (seed 1992);2.28;1.40;3.34;7.88;13.22;1.79;23.69;23.89;23.99;32.86;21.62;7.41;21.03;28.04;26.46;45.00;45.39;45.59;2.90;3.97;2.32;0.55;0.39;4.50;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-80.csv' (seed 1992);2.23;1.38;3.43;7.97;13.20;1.81;23.70;23.90;24.01;33.24;20.04;7.70;21.47;27.72;26.87;45.04;45.40;45.63;2.92;4.13;2.19;0.53;0.40;4.44;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-81.csv' (seed 1992);2.61;0.97;2.17;6.22;12.02;1.37;23.69;23.90;24.00;38.78;14.96;31.44;22.42;24.56;20.82;45.00;45.40;45.59;2.17;5.87;2.06;0.45;0.51;5.84;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce0_obsspd-82.csv' (seed 1992);2.74;1.00;2.17;6.62;11.29;1.36;23.70;23.90;24.01;40.60;15.52;30.74;23.40;23.70;18.51;45.03;45.41;45.62;2.02;5.94;2.02;0.42;0.53;6.20;0.11;0.11;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce10_obsspd-62.csv' (seed 1992);10.14;10.50;9.84;17.90;9.25;13.82;10.55;13.78;6.39;28.53;30.48;28.59;47.07;31.63;26.26;30.47;26.18;32.11;0.33;0.29;0.31;0.11;0.22;0.48;0.29;0.48;0.23
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce10_obsspd-63.csv' (seed 1992);3.83;12.31;4.17;23.10;3.99;13.73;12.68;13.73;2.26;9.35;27.30;10.18;46.75;10.43;26.09;27.74;26.08;11.38;0.45;0.39;0.34;0.12;0.29;0.49;0.38;0.49;0.24
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce10_obsspd-64.csv' (seed 1992);0.61;13.65;0.70;23.89;0.66;13.75;13.44;13.76;0.36;1.49;26.54;1.70;45.84;1.73;26.13;26.12;26.14;1.90;0.47;0.46;0.32;0.11;0.28;0.48;0.47;0.48;0.23
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce10_obsspd-65.csv' (seed 1992);9.57;1.55;14.01;21.45;11.47;13.80;1.60;13.75;0.81;21.41;4.25;27.75;48.13;29.32;26.22;4.31;26.13;4.32;0.59;0.31;0.41;0.13;0.31;0.48;0.31;0.48;0.25
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce10_obsspd-66.csv' (seed 1992);10.38;10.56;11.65;21.11;10.43;13.79;10.79;13.76;5.86;21.79;29.63;24.54;47.89;26.99;26.19;30.07;26.15;27.57;0.60;0.30;0.43;0.14;0.40;0.48;0.30;0.48;0.27
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce10_obsspd-67.csv' (seed 1992);11.13;10.29;12.11;18.64;8.33;13.77;10.79;13.88;6.37;24.87;29.24;24.59;37.26;18.58;26.16;30.20;26.38;21.90;0.47;0.30;0.53;0.24;0.69;0.48;0.29;0.48;0.36
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce10_obsspd-68.csv' (seed 1992);6.00;11.64;7.80;20.48;6.03;13.73;12.20;13.77;5.47;13.73;27.69;15.69;40.10;12.64;26.09;28.82;26.15;15.25;0.51;0.37;0.51;0.19;0.66;0.49;0.34;0.48;0.35
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce10_obsspd-69.csv' (seed 1992);9.03;11.36;13.09;19.33;9.06;13.81;11.50;13.74;7.98;18.18;28.48;25.88;37.64;17.72;26.24;29.59;26.10;22.40;0.72;0.34;0.42;0.23;0.82;0.48;0.32;0.49;0.37
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce10_obsspd-70.csv' (seed 1992);2.77;12.96;3.29;22.71;2.39;13.86;13.08;13.66;2.11;5.59;26.44;6.47;43.41;4.66;26.34;26.78;25.95;6.13;0.63;0.45;0.51;0.14;0.89;0.48;0.44;0.49;0.38
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce10_obsspd-71.csv' (seed 1992);10.88;10.05;12.63;18.99;9.32;13.75;11.35;13.86;9.01;21.85;22.45;24.85;37.08;18.21;26.12;29.22;26.33;27.65;0.62;0.55;0.52;0.24;0.89;0.48;0.33;0.48;0.34
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce10_obsspd-72.csv' (seed 1992);11.01;9.96;12.51;19.08;9.38;13.63;11.07;13.81;9.24;22.18;22.27;24.60;37.26;18.33;25.90;28.81;26.24;24.10;0.61;0.56;0.53;0.23;0.88;0.49;0.33;0.48;0.46
 KOMONDOR SIMULATION 'sim_input_nodes_sparse_sce10_obsspd-73.csv' (seed 1992);9.63;10.67;10.77;19.82;8.30;13.82;11.47;13.78;7.62;19.84;22.87;21.13;38.57;16.24;26.26;28.31;26.17;20.48;0.58;0.55;0.55;0.21;0.87;0.48;0.35;0.48;0.48
