 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-62.csv' (seed 1992);43.63;49.48;109.01;41.02;44.33;109.01;1.34;110.35;59.34;49.42;43.71;94.13;35.42;49.20;94.14;1.15;95.29;51.24;0.26;3.19;0.18;9.85;0.44;0.18;456.80;0.11;5.06
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-63.csv' (seed 1992);47.38;50.88;109.90;39.18;41.34;109.77;0.45;110.35;58.32;52.49;44.81;94.90;33.83;48.62;94.79;0.39;95.29;50.36;0.28;3.29;0.13;10.57;0.38;0.14;201.23;0.11;5.25
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-64.csv' (seed 1992);56.24;50.69;107.93;37.46;40.00;107.42;2.48;110.35;58.96;63.62;44.43;93.20;32.37;48.69;92.77;2.15;95.29;50.91;0.31;3.79;0.24;10.84;0.35;0.26;64.60;0.11;5.13
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-65.csv' (seed 1992);70.94;50.56;110.09;39.62;42.42;110.09;0.25;110.35;58.64;84.78;44.52;95.07;34.22;48.85;95.07;0.22;95.29;50.64;0.81;3.34;0.12;10.39;0.40;0.12;56.24;0.11;5.19
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-66.csv' (seed 1992);70.94;50.56;110.09;39.62;42.42;110.09;0.25;110.35;58.64;84.78;44.52;95.07;34.22;48.85;95.07;0.22;95.29;50.64;0.81;3.34;0.12;10.39;0.40;0.12;56.24;0.11;5.19
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-67.csv' (seed 1992);78.27;50.56;107.04;48.21;52.09;106.72;3.37;110.35;59.47;86.03;44.21;92.43;41.63;49.56;92.17;2.92;95.29;51.35;0.73;4.11;0.29;7.53;0.93;0.30;37.09;0.11;5.04
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-68.csv' (seed 1992);78.27;50.56;107.04;48.21;52.09;106.72;3.37;110.35;59.47;86.03;44.21;92.43;41.63;49.56;92.17;2.92;95.29;51.35;0.73;4.11;0.29;7.53;0.93;0.30;37.09;0.11;5.04
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-69.csv' (seed 1992);82.44;49.80;107.99;38.99;48.65;107.93;2.35;110.35;60.17;79.86;43.55;93.25;33.67;51.82;93.21;2.04;95.29;51.95;1.22;4.19;0.24;10.62;0.45;0.24;161.24;0.11;4.91
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-70.csv' (seed 1992);82.44;49.80;107.99;38.99;48.65;107.93;2.35;110.35;60.17;79.86;43.55;93.25;33.67;51.82;93.21;2.04;95.29;51.95;1.22;4.19;0.24;10.62;0.45;0.24;161.24;0.11;4.91
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-71.csv' (seed 1992);82.44;49.80;107.99;38.99;48.65;107.93;2.35;110.35;60.17;79.86;43.55;93.25;33.67;51.82;93.21;2.04;95.29;51.95;1.22;4.19;0.24;10.62;0.45;0.24;161.24;0.11;4.91
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-72.csv' (seed 1992);72.20;50.05;109.39;39.81;47.57;109.39;0.95;110.35;58.38;72.93;44.39;94.46;34.93;50.41;94.47;0.82;95.29;50.42;0.29;2.84;0.16;5.53;0.49;0.16;43.44;0.11;5.24
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-73.csv' (seed 1992);51.35;47.95;108.82;41.59;37.46;108.63;1.53;110.35;60.74;54.10;42.47;93.97;36.71;45.10;93.81;1.32;95.29;52.45;0.45;3.17;0.19;4.39;0.41;0.20;262.76;0.11;4.81
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-74.csv' (seed 1992);49.80;48.46;109.84;41.28;40.77;109.77;0.51;110.35;60.93;52.87;42.62;94.85;36.29;46.80;94.80;0.44;95.29;52.61;0.44;3.73;0.14;4.92;0.43;0.14;16.67;0.11;4.78
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-75.csv' (seed 1992);51.33;48.40;108.88;39.94;39.50;108.76;1.46;110.35;59.97;53.16;43.00;94.02;35.37;46.58;93.92;1.27;95.29;51.79;0.48;2.90;0.19;4.29;0.41;0.19;283.58;0.11;4.95
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-76.csv' (seed 1992);49.80;48.91;108.44;41.47;39.05;108.25;1.91;110.28;60.48;51.45;43.01;93.64;35.81;46.65;93.48;1.65;95.23;52.23;0.52;3.68;0.21;9.66;0.39;0.22;12.06;0.11;4.85
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-77.csv' (seed 1992);52.79;47.00;109.84;41.28;38.16;109.84;0.51;110.35;61.44;48.04;41.78;94.85;35.64;46.31;94.85;0.44;95.29;53.05;1.58;3.02;0.14;9.74;0.38;0.14;105.25;0.11;4.70
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-78.csv' (seed 1992);52.79;47.00;109.84;41.28;38.16;109.84;0.51;110.35;61.44;48.04;41.78;94.85;35.64;46.31;94.85;0.44;95.29;53.05;1.58;3.02;0.14;9.74;0.38;0.14;105.25;0.11;4.70
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-79.csv' (seed 1992);52.79;47.00;109.84;41.28;38.16;109.84;0.51;110.35;61.44;48.04;41.78;94.85;35.64;46.31;94.85;0.44;95.29;53.05;1.58;3.02;0.14;9.74;0.38;0.14;105.25;0.11;4.70
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-80.csv' (seed 1992);48.46;48.34;108.76;42.42;40.13;108.63;1.59;110.28;58.64;43.74;43.50;93.91;36.63;46.72;93.81;1.38;95.23;50.64;2.13;2.25;0.19;9.34;0.42;0.20;14.10;0.11;5.19
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-81.csv' (seed 1992);48.46;48.34;108.76;42.42;40.13;108.63;1.59;110.28;58.64;43.74;43.50;93.91;36.63;46.72;93.81;1.38;95.23;50.64;2.13;2.25;0.19;9.34;0.42;0.20;14.10;0.11;5.19
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce0_obsspd-82.csv' (seed 1992);48.46;48.34;108.76;42.42;40.13;108.63;1.59;110.28;58.64;43.74;43.50;93.91;36.63;46.72;93.81;1.38;95.23;50.64;2.13;2.25;0.19;9.34;0.42;0.20;14.10;0.11;5.19
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-62.csv' (seed 1992);97.20;96.10;8.33;57.94;58.38;7.00;4.77;7.31;97.63;88.61;83.04;7.22;50.03;50.87;6.05;4.13;6.54;84.30;0.32;0.93;33.23;5.32;3.51;45.33;62.16;15.52;0.86
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-63.csv' (seed 1992);105.35;103.48;4.13;57.75;57.88;3.05;1.84;4.01;104.75;94.00;89.35;3.57;49.87;50.30;2.64;1.60;3.55;90.45;0.19;0.49;139.58;5.36;3.94;183.55;265.63;64.66;0.42
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-64.csv' (seed 1992);90.98;86.50;14.82;58.58;58.70;10.68;7.82;13.17;88.79;89.10;74.69;12.82;50.58;50.90;9.28;6.77;11.74;76.67;0.50;1.70;33.66;5.20;4.22;40.41;67.90;15.69;1.51
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-65.csv' (seed 1992);93.70;90.18;13.23;60.10;56.22;9.79;6.68;11.00;91.71;89.41;77.88;11.44;51.90;48.79;8.49;5.78;9.79;79.19;0.48;1.39;36.95;4.92;4.44;46.22;76.98;18.98;1.28
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-66.csv' (seed 1992);104.23;102.52;4.45;60.67;57.56;3.37;2.80;4.07;103.41;93.38;88.53;3.85;52.39;50.08;2.91;2.42;3.66;89.30;0.23;0.55;32.78;4.82;3.82;47.54;57.78;12.37;0.50
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-67.csv' (seed 1992);93.95;87.32;14.44;58.70;58.64;12.59;9.09;13.04;88.15;87.42;75.41;12.50;50.69;51.05;10.89;7.87;11.40;76.12;0.63;1.63;28.43;5.17;3.59;36.27;48.65;21.94;1.56
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-68.csv' (seed 1992);93.68;84.65;16.47;58.83;58.89;14.31;9.86;14.37;85.41;88.24;73.13;14.24;50.80;51.05;12.39;8.54;12.60;73.76;0.57;1.82;30.01;5.15;4.26;32.95;49.75;20.66;1.79
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-69.csv' (seed 1992);88.49;79.63;17.62;59.02;58.26;15.90;10.11;16.66;84.14;80.81;68.82;15.24;50.97;50.66;13.83;8.78;14.78;72.66;1.13;2.23;21.22;5.12;3.81;19.25;34.56;10.18;1.90
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-70.csv' (seed 1992);78.95;71.87;20.42;58.64;58.13;18.57;12.27;23.15;78.86;72.89;62.17;17.67;50.64;50.45;16.20;10.66;20.34;68.10;1.87;2.91;22.65;5.18;4.15;18.70;35.86;11.24;2.41
 KOMONDOR SIMULATION 'sim_input_nodes_semi_dense_sce10_obsspd-71.csv' (seed 1992);100.12;98.20;7.44;58.51;58.45;6.68;4.77;7.12;98.58;88.18;84.80;6.44;50.53;50.76;5.77;4.13;6.25;85.13;0.57;0.82;34.70;5.21;3.97;40.56;56.31;21.65;0.80
