 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-62.csv' (seed 1992);7.84;14.70;24.12;23.71;24.12;24.10;23.30;24.14;23.36;10.62;12.78;29.98;21.69;25.98;25.47;20.76;30.94;20.97;2.64;27.01;0.56;5.48;1.38;1.53;8.98;0.47;7.25
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-63.csv' (seed 1992);9.01;14.17;24.12;23.98;24.12;24.12;23.15;24.14;23.40;12.76;12.31;29.45;22.06;26.28;25.84;20.57;31.18;21.06;3.03;30.25;0.63;5.02;1.30;1.42;9.69;0.45;6.88
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-64.csv' (seed 1992);10.00;14.06;24.11;24.05;24.11;24.12;23.30;24.14;23.20;13.72;12.19;29.55;22.00;26.04;25.53;20.63;31.10;21.03;3.19;32.12;0.62;5.40;1.37;1.51;10.25;0.46;6.15
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-65.csv' (seed 1992);10.95;14.26;24.12;24.03;24.12;24.10;23.37;24.14;23.64;15.28;12.37;29.68;21.91;25.80;25.47;20.75;31.05;21.31;3.16;30.62;0.60;5.67;1.43;1.54;9.65;0.46;6.54
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-66.csv' (seed 1992);11.84;14.38;24.12;23.96;24.12;24.08;22.98;24.14;22.92;16.71;12.49;29.33;21.77;25.98;25.51;20.35;31.05;20.67;3.04;29.55;0.65;5.97;1.38;1.52;10.46;0.46;6.64
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-67.csv' (seed 1992);15.54;14.02;24.12;23.83;24.12;24.10;23.35;24.15;22.96;18.59;12.16;29.69;21.74;25.68;25.55;20.81;31.05;20.78;3.93;31.87;0.60;5.61;1.47;1.50;8.97;0.46;6.16
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-68.csv' (seed 1992);17.00;14.63;24.11;23.69;24.12;24.07;23.26;24.14;23.07;20.01;12.68;29.17;21.55;25.72;25.61;20.66;30.99;20.74;5.14;32.08;0.66;5.98;1.46;1.48;9.80;0.46;6.79
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-69.csv' (seed 1992);19.38;15.02;24.12;23.84;24.12;24.12;23.21;24.15;22.58;20.24;13.02;28.88;21.73;25.78;25.42;20.66;30.86;20.35;11.12;30.70;0.70;5.72;1.44;1.56;9.31;0.48;6.73
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-70.csv' (seed 1992);18.17;14.75;24.12;23.32;24.11;24.06;23.03;24.15;22.76;18.61;12.78;29.28;20.82;26.27;26.30;20.40;30.99;19.85;18.80;31.49;0.65;8.30;1.29;1.27;10.36;0.46;13.91
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-71.csv' (seed 1992);14.23;14.90;24.12;23.73;24.12;24.09;23.64;24.15;22.76;14.03;12.92;30.02;21.32;26.24;26.12;21.24;31.06;19.86;28.12;30.84;0.56;7.24;1.30;1.33;7.70;0.46;15.20
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-72.csv' (seed 1992);16.59;15.71;24.12;23.61;24.12;24.09;23.51;24.15;22.48;15.40;13.63;29.95;21.17;26.37;26.14;20.90;31.01;19.62;24.62;28.05;0.58;7.47;1.29;1.32;9.25;0.46;15.25
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-73.csv' (seed 1992);14.59;16.07;24.11;23.64;24.11;24.09;23.63;24.13;22.58;13.48;13.94;30.24;21.18;25.93;25.74;21.13;31.12;19.75;29.00;27.46;0.54;7.65;1.41;1.43;8.39;0.45;14.15
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-74.csv' (seed 1992);14.54;15.92;24.12;23.70;24.12;24.06;23.75;24.15;22.46;12.92;13.79;30.00;21.35;25.90;25.64;21.26;30.61;19.61;16.49;29.45;0.56;6.91;1.40;1.47;7.97;0.50;14.90
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-75.csv' (seed 1992);14.05;15.54;24.11;23.73;24.12;24.07;23.70;24.13;22.95;12.27;13.50;30.05;21.35;25.61;25.51;21.34;30.74;20.09;25.16;26.95;0.56;6.99;1.51;1.50;7.59;0.49;13.36
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-76.csv' (seed 1992);13.50;15.32;24.11;23.87;24.11;24.09;23.80;24.14;22.53;11.81;13.30;30.10;21.53;25.71;25.60;21.41;30.91;19.71;24.34;27.87;0.55;6.75;1.47;1.48;7.26;0.47;14.16
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-77.csv' (seed 1992);12.26;16.45;24.12;23.89;24.10;24.10;23.62;24.14;22.29;10.71;14.27;30.27;21.58;25.42;25.52;21.28;30.84;19.49;28.84;27.29;0.53;6.53;1.56;1.52;7.47;0.48;14.58
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-78.csv' (seed 1992);12.07;15.85;24.12;23.74;24.12;24.10;23.67;24.14;22.62;10.52;13.74;30.59;21.42;24.79;25.37;21.22;30.89;19.75;31.45;28.26;0.50;6.64;1.84;1.57;7.91;0.47;14.82
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-79.csv' (seed 1992);9.88;16.49;24.11;23.94;24.11;24.07;23.66;24.14;22.83;8.60;14.32;31.07;21.58;24.73;25.03;21.28;31.06;19.99;41.36;25.50;0.46;6.76;1.87;1.70;7.36;0.45;13.42
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-80.csv' (seed 1992);9.14;17.38;24.11;23.94;24.11;24.08;23.74;24.14;23.03;7.96;15.08;31.20;21.66;24.67;24.82;21.41;31.00;20.12;44.15;24.84;0.45;6.37;1.91;1.79;7.00;0.46;14.33
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-81.csv' (seed 1992);7.98;16.95;24.12;23.90;24.12;24.10;23.78;24.15;23.41;6.93;14.71;31.42;21.69;24.91;25.00;21.50;31.18;20.48;59.25;24.90;0.43;6.05;1.80;1.72;6.79;0.44;13.55
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce0_obsspd-82.csv' (seed 1992);0.73;18.50;24.12;23.92;24.12;24.11;23.85;24.15;23.33;5.35;16.04;31.69;21.68;24.92;25.13;21.64;31.53;20.44;67.90;23.75;0.40;6.19;1.80;1.68;6.42;0.42;12.99
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-62.csv' (seed 1992);6.45;11.74;22.77;24.12;24.07;23.58;22.50;16.27;23.10;7.62;10.29;21.07;28.37;27.13;24.92;19.82;14.09;20.84;3.95;27.17;4.66;0.78;1.02;1.57;11.65;28.85;6.70
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-63.csv' (seed 1992);6.66;12.98;22.71;24.06;24.12;23.71;22.96;17.09;23.48;7.54;11.28;20.57;28.33;26.95;24.78;20.23;14.82;21.08;6.14;31.94;6.33;0.77;1.08;1.66;11.20;26.05;7.21
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-64.csv' (seed 1992);5.50;12.56;22.98;24.11;24.11;23.45;23.36;16.41;23.55;5.78;10.93;20.89;28.62;27.34;24.95;20.59;14.25;20.83;12.20;32.02;5.93;0.74;0.99;1.53;11.12;25.56;9.86
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-65.csv' (seed 1992);6.38;12.36;22.89;24.12;24.12;23.55;22.90;17.59;23.46;6.67;10.73;20.75;28.45;27.01;25.02;20.23;15.29;20.75;13.93;35.28;6.16;0.77;1.06;1.52;10.60;23.21;9.99
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-66.csv' (seed 1992);5.99;11.62;22.91;24.10;24.08;23.26;22.92;16.74;23.40;6.41;10.24;21.03;28.60;27.02;25.18;20.16;14.52;20.72;15.00;23.72;5.15;0.74;1.04;1.41;11.81;26.47;9.83
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-67.csv' (seed 1992);7.86;12.32;21.78;24.11;24.12;23.26;22.41;15.86;23.12;7.95;10.84;20.55;28.61;27.01;25.10;19.69;13.78;20.45;16.85;22.91;3.91;0.75;1.05;1.43;12.50;26.46;10.06
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-68.csv' (seed 1992);7.82;12.16;21.97;24.12;24.06;23.06;22.76;16.82;23.22;7.76;10.73;19.88;28.84;26.71;25.01;20.10;14.61;20.46;24.63;21.79;6.62;0.72;1.12;1.41;10.87;25.16;11.29
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-69.csv' (seed 1992);7.92;10.90;21.99;24.11;24.11;23.50;22.82;16.79;23.47;7.65;9.65;19.80;28.52;27.22;25.40;20.03;14.55;20.74;32.59;22.64;7.13;0.75;1.01;1.40;12.68;27.50;10.25
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-70.csv' (seed 1992);6.60;12.42;21.48;24.12;24.12;23.57;23.07;16.77;23.42;6.27;10.90;19.76;28.54;27.22;24.93;20.37;14.61;20.75;22.09;24.26;5.30;0.75;1.01;1.57;10.56;21.83;9.60
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-71.csv' (seed 1992);7.98;11.98;21.91;24.11;24.12;23.50;22.73;15.97;23.57;7.55;10.57;19.96;28.43;27.10;24.76;20.09;14.00;20.86;24.31;22.03;5.91;0.77;1.03;1.61;10.54;19.35;9.79
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-72.csv' (seed 1992);7.18;12.02;21.59;24.12;24.12;23.42;23.06;17.21;23.19;6.70;10.84;19.38;28.41;27.17;24.70;20.34;15.22;20.51;18.35;14.20;7.59;0.77;1.02;1.60;10.90;13.75;10.24
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-73.csv' (seed 1992);8.10;11.81;22.23;24.11;24.12;23.51;23.16;16.24;23.51;7.53;10.50;20.08;28.55;27.32;24.21;20.36;14.35;20.86;19.63;18.78;6.70;0.75;0.99;1.85;11.89;15.18;9.42
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-74.csv' (seed 1992);6.05;13.54;21.42;24.11;24.10;23.25;23.09;17.05;23.49;5.48;12.08;19.39;28.56;26.99;23.89;20.36;14.97;20.86;27.02;15.12;6.68;0.74;1.05;1.90;10.97;16.87;9.21
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-75.csv' (seed 1992);6.06;12.39;22.14;24.12;24.12;23.28;23.15;17.70;23.31;5.52;11.04;19.95;28.44;27.26;24.43;20.48;15.49;20.65;25.28;16.87;6.96;0.77;1.01;1.66;10.09;17.79;9.72
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-76.csv' (seed 1992);6.79;12.55;21.70;24.09;24.10;23.24;23.17;16.41;23.48;6.02;11.08;19.69;28.69;27.56;24.01;20.46;14.42;20.89;35.76;20.89;6.37;0.73;0.94;1.83;10.68;17.19;8.74
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-77.csv' (seed 1992);5.99;13.10;21.95;24.12;24.12;23.74;22.83;16.65;23.67;5.39;11.54;19.89;28.64;27.09;24.35;20.18;14.57;21.00;30.32;21.06;6.43;0.74;1.03;1.86;10.59;19.24;9.39
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-78.csv' (seed 1992);6.11;13.04;22.20;24.12;24.12;23.68;22.86;18.33;23.26;5.52;11.52;20.03;28.21;26.84;24.78;20.09;16.08;20.53;28.40;19.75;6.79;0.80;1.09;1.65;12.20;15.98;10.81
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-79.csv' (seed 1992);0.50;13.38;22.51;24.12;24.12;23.47;23.32;18.87;23.80;2.96;11.63;20.33;28.95;26.96;25.21;20.65;16.42;21.23;102.55;30.87;6.62;0.70;1.06;1.44;9.90;20.17;8.24
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-80.csv' (seed 1992);0.34;14.60;22.55;24.12;24.12;23.29;23.41;17.97;23.66;3.21;12.69;20.28;28.97;27.20;24.61;20.79;15.63;21.03;96.61;28.11;7.07;0.69;1.01;1.60;9.24;22.25;8.88
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-81.csv' (seed 1992);0.34;14.60;22.55;24.12;24.12;23.29;23.41;17.97;23.66;3.21;12.69;20.28;28.97;27.20;24.61;20.79;15.63;21.03;96.61;28.11;7.07;0.69;1.01;1.60;9.24;22.25;8.88
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce10_obsspd-82.csv' (seed 1992);0.34;14.60;22.55;24.12;24.12;23.29;23.41;17.97;23.66;3.21;12.69;20.28;28.97;27.20;24.61;20.79;15.63;21.03;96.61;28.11;7.07;0.69;1.01;1.60;9.24;22.25;8.88
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce11_obsspd-62.csv' (seed 1992);6.10;23.75;23.98;23.90;16.56;23.96;23.74;8.41;24.00;6.98;21.32;22.39;25.96;15.09;22.00;22.14;7.32;23.11;5.29;7.27;4.17;1.33;8.23;5.32;4.34;47.83;2.98
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce11_obsspd-63.csv' (seed 1992);6.10;23.64;24.04;23.90;15.30;24.02;23.58;8.68;23.93;6.74;21.05;22.59;25.88;13.85;22.44;21.85;7.55;23.05;6.74;8.54;3.89;1.36;9.82;4.36;4.76;48.39;3.01
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce11_obsspd-64.csv' (seed 1992);6.42;23.38;24.11;24.01;15.56;24.02;23.69;9.08;24.01;6.94;20.86;22.62;25.63;14.20;22.43;22.05;7.94;23.13;6.81;8.38;3.95;1.45;8.58;4.38;4.51;39.48;3.00
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce11_obsspd-65.csv' (seed 1992);6.14;23.37;24.10;23.96;16.83;24.11;23.70;7.72;24.02;6.72;20.92;22.69;25.76;15.21;22.74;21.79;6.71;23.11;6.61;7.79;3.82;1.40;9.20;3.85;5.16;55.09;3.02
 KOMONDOR SIMULATION 'sim_input_nodes_ultra_dense_sce11_obsspd-66.csv' (seed 1992);5.94;23.40;24.08;23.79;17.59;24.08;23.70;8.85;23.97;6.39;20.75;22.76;25.70;15.85;22.35;21.81;7.69;22.61;12.28;9.46;3.65;1.38;9.24;4.68;5.08;49.21;3.64
